Ticker,Expiration,Type,Strike,ImpliedVolatility,LastPrice,Volume,OpenInterest
SLV,2025-12-01,Call,40.0,1.3281283593749997,7.31,1.0,0
SLV,2025-12-01,Call,41.0,1.0625046875000002,5.0,85.0,50
SLV,2025-12-01,Call,42.5,1.3125034374999998,5.88,5.0,7
SLV,2025-12-01,Call,43.0,0.98437515625,7.77,10.0,18
SLV,2025-12-01,Call,43.5,0.929688203125,4.67,7.0,6
SLV,2025-12-01,Call,45.0,0.98437515625,6.25,309.0,0
SLV,2025-12-01,Call,46.0,0.7695335546875001,4.95,239.0,0
SLV,2025-12-01,Call,47.0,0.5429733203125001,4.0,410.0,0
SLV,2025-12-01,Call,49.0,0.48242705078125003,2.3,1929.0,0
SLV,2025-12-01,Call,50.0,0.1992267578125,1.15,6514.0,0
SLV,2025-12-01,Call,50.5,0.2695385546875,0.87,5839.0,0
SLV,2025-12-01,Call,51.0,0.2910227148437499,0.62,11729.0,0
SLV,2025-12-01,Call,51.5,0.31445998046874996,0.43,3242.0,0
SLV,2025-12-01,Call,52.0,0.33008482421874996,0.27,5321.0,0
SLV,2025-12-01,Call,52.5,0.34766277343749996,0.17,1692.0,0
SLV,2025-12-01,Call,53.0,0.36133451171875,0.12,1112.0,35
SLV,2025-12-01,Call,54.0,0.42774009765625004,0.07,1466.0,371
SLV,2025-12-01,Call,55.0,0.46094289062500005,0.03,1550.0,223
SLV,2025-12-01,Call,56.0,0.523442265625,0.03,1033.0,0
SLV,2025-12-01,Call,57.0,0.5468795312500001,0.02,155.0,0
SLV,2025-12-01,Call,58.0,0.6250037500000001,0.01,642.0,0
SLV,2025-12-01,Call,59.0,0.6093789062500001,0.01,90.0,465
SLV,2025-12-01,Call,65.0,0.9687503125,0.02,10.0,0
SLV,2025-12-03,Call,39.5,1.3320345898437496,7.0,3.0,0
SLV,2025-12-03,Call,43.0,0.6562534375000001,6.59,1.0,0
SLV,2025-12-03,Call,44.5,0.5468795312500001,6.0,2.0,0
SLV,2025-12-03,Call,45.0,0.8203142968749999,5.23,2.0,0
SLV,2025-12-03,Call,45.5,0.5468795312500001,4.95,45.0,0
SLV,2025-12-03,Call,47.0,0.5566450585937501,4.2,58.0,0
SLV,2025-12-03,Call,47.5,0.5507857421875001,3.77,276.0,0
SLV,2025-12-03,Call,48.0,0.53320779296875,3.05,293.0,3187
SLV,2025-12-03,Call,48.5,0.2910227148437499,2.72,1066.0,1010
SLV,2025-12-03,Call,49.0,0.335944140625,2.28,1428.0,0
SLV,2025-12-03,Call,49.5,0.4726615234375,2.1,8836.0,0
SLV,2025-12-03,Call,50.0,0.36035795898437495,1.52,3464.0,0
SLV,2025-12-03,Call,50.5,0.3881897119140625,1.25,1895.0,79
SLV,2025-12-03,Call,51.0,0.398443515625,1.02,1825.0,0
SLV,2025-12-03,Call,51.5,0.40820904296875,0.85,1260.0,0
SLV,2025-12-03,Call,52.0,0.42627526855468756,0.64,1125.0,0
SLV,2025-12-03,Call,53.0,0.48242705078125003,0.48,490.0,406
SLV,2025-12-03,Call,54.0,0.49609878906250005,0.29,595.0,10
SLV,2025-12-03,Call,55.0,0.5019581054687501,0.16,142.0,0
SLV,2025-12-03,Call,56.0,0.5351608984375,0.12,124.0,0
SLV,2025-12-03,Call,59.0,0.6250037500000001,0.05,428.0,0
SLV,2025-12-03,Call,60.0,0.6718782812500002,0.03,113.0,151
SLV,2025-12-05,Call,33.0,1.6289081054687498,12.11,5.0,0
SLV,2025-12-05,Call,37.0,1.25390998046875,9.42,1.0,0
SLV,2025-12-05,Call,38.0,0.8906260937499999,13.03,2.0,0
SLV,2025-12-05,Call,38.5,0.85937640625,12.58,2.0,26
SLV,2025-12-05,Call,39.0,1.0781296093750001,6.5,8.0,8
SLV,2025-12-05,Call,39.5,1.0351610742187503,7.14,1.0,40
SLV,2025-12-05,Call,40.0,0.937500625,10.38,19.0,0
SLV,2025-12-05,Call,40.5,0.9531254687499999,4.74,2.0,0
SLV,2025-12-05,Call,41.0,0.9101571484375,5.24,7.0,98
SLV,2025-12-05,Call,42.0,0.6250037500000001,8.55,11.0,0
SLV,2025-12-05,Call,42.5,0.85937640625,5.89,2.0,88
SLV,2025-12-05,Call,43.5,0.773439765625,7.4,3.0,0
SLV,2025-12-05,Call,44.0,0.7304714453125,7.09,51.0,0
SLV,2025-12-05,Call,44.5,0.7382838671874999,6.37,161.0,0
SLV,2025-12-05,Call,45.0,0.5468795312500001,6.3,393.0,1187
SLV,2025-12-05,Call,45.5,0.648441015625,5.78,40.0,0
SLV,2025-12-05,Call,47.0,0.5117236328125,4.33,718.0,2745
SLV,2025-12-05,Call,47.5,0.32031929687499994,3.93,552.0,0
SLV,2025-12-05,Call,48.0,0.41797457031249996,3.27,3901.0,0
SLV,2025-12-05,Call,48.5,0.506840869140625,3.1,474.0,0
SLV,2025-12-05,Call,49.0,0.38184211914062494,2.4,1675.0,3288
SLV,2025-12-05,Call,49.5,0.42090422851562503,2.17,2862.0,0
SLV,2025-12-05,Call,50.0,0.41699801757812494,1.84,17197.0,0
SLV,2025-12-05,Call,50.5,0.43506424316406256,1.71,6539.0,10226
SLV,2025-12-05,Call,51.0,0.44727115234375,1.32,11220.0,749
SLV,2025-12-05,Call,51.5,0.507817421875,1.28,1778.0,0
SLV,2025-12-05,Call,52.0,0.46582565429687506,0.91,5460.0,1708
SLV,2025-12-05,Call,53.0,0.4892629199218751,0.74,6529.0,0
SLV,2025-12-05,Call,54.0,0.5029346582031251,0.49,5066.0,1490
SLV,2025-12-05,Call,55.0,0.51758294921875,0.32,4521.0,495
SLV,2025-12-05,Call,56.0,0.5390671093750001,0.25,920.0,189
SLV,2025-12-05,Call,57.0,0.56055126953125,0.16,619.0,0
SLV,2025-12-05,Call,58.0,0.6015664843750002,0.14,152.0,1916
SLV,2025-12-05,Call,59.0,0.62305064453125,0.11,13.0,0
SLV,2025-12-05,Call,60.0,0.6523472265625001,0.08,425.0,0
SLV,2025-12-05,Call,61.0,0.6875031250000001,0.07,9.0,0
SLV,2025-12-05,Call,62.0,0.710940390625,0.05,56.0,0
SLV,2025-12-05,Call,63.0,0.7500025,0.06,5.0,24
SLV,2025-12-05,Call,64.0,0.7695335546875001,0.03,6.0,0
SLV,2025-12-05,Call,65.0,0.79687703125,0.04,20.0,0
SLV,2025-12-05,Call,70.0,0.9609378906249999,0.02,530.0,0
SLV,2025-12-08,Call,43.0,0.62305064453125,8.0,12.0,0
SLV,2025-12-08,Call,45.0,0.5390671093750001,5.35,7.0,0
SLV,2025-12-08,Call,45.5,0.38672488281249995,5.01,10.0,24
SLV,2025-12-08,Call,46.0,0.5039112109375,4.93,32.0,0
SLV,2025-12-08,Call,46.5,0.46582565429687506,3.95,1.0,10
SLV,2025-12-08,Call,47.0,0.5127001855468749,4.45,26.0,0
SLV,2025-12-08,Call,47.5,0.46973186523437505,3.69,3.0,270
SLV,2025-12-08,Call,48.0,0.34961587890624996,3.3,32.0,0
SLV,2025-12-08,Call,48.5,0.44434149414062496,3.15,10571.0,0
SLV,2025-12-08,Call,49.0,0.407232490234375,2.68,33.0,70
SLV,2025-12-08,Call,49.5,0.45215391601562505,1.62,6.0,0
SLV,2025-12-08,Call,50.0,0.4545952978515625,2.13,220.0,0
SLV,2025-12-08,Call,51.5,0.42188078125,1.29,10.0,0
SLV,2025-12-08,Call,52.0,0.45898978515625005,1.18,110.0,0
SLV,2025-12-08,Call,56.0,0.5097705273437501,0.34,71.0,44
